domain,type,threat_level,action_taken,reported_date
samratinstitute.com,phishing,high,suspended,2026-08-28
support067537.online,phishing,high,suspended,2026-08-24
7vwinapk.shop,phishing,high,serverHold,2026-08-23
qulvio.top,phishing,high,serverHold,2026-08-22
c9k5r1v7n3y8d2q6ha.live,phishing,high,clientHold,2026-08-21
feiraodoserasa.com,phishing,high,suspended,2026-08-17
online-novobanco.com,phishing,high,clientHold,2026-08-17
a-novobanco.com,phishing,high,clientHold,2026-08-17
solicituddevolucionsaldohacienda.zohosites.com,phishing,high,suspended,2026-08-16
acess-info.com,phising,high,clienthold,2026-09-23
ratechh.duckdns.org/~gestorvt/xuione/,phising,high,sinkholed,2026-09-23
